date,time,open,high,low,close,volume
2025-10-15,20251015150000,14.89,14.99,14.56,14.95,10597306.0
2025-10-16,20251016150000,14.91,15.19,14.61,15.02,14345616.0
2025-10-17,20251017150000,14.95,15.27,14.3,14.35,15328004.0
2025-10-20,20251020150000,14.62,14.74,14.04,14.22,11356731.0
2025-10-21,20251021150000,14.3,14.98,14.22,14.67,17099686.0
2025-10-22,20251022150000,14.55,14.73,14.3,14.34,11064181.0
2025-10-23,20251023150000,14.34,15.35,13.78,15.07,26614522.0
2025-10-24,20251024150000,15.9,16.0,15.24,15.26,33667684.0
2025-10-27,20251027150000,15.0,15.4,15.0,15.24,20372546.0
2025-10-28,20251028150000,15.19,15.95,15.15,15.62,25089066.0
2025-10-29,20251029150000,15.55,15.69,15.4,15.46,14703731.0
2025-10-30,20251030150000,15.42,15.52,15.19,15.22,13308128.0
2025-10-31,20251031150000,15.2,15.66,15.04,15.3,16166165.0
2025-11-03,20251103150000,15.3,15.65,15.11,15.61,17352874.0
2025-11-04,20251104150000,15.5,15.51,15.11,15.28,12328174.0
2025-11-05,20251105150000,15.2,15.28,15.06,15.19,8411344.0
2025-11-06,20251106150000,15.08,15.28,14.98,15.15,10892795.0
2025-11-07,20251107150000,15.05,16.0,15.05,15.93,39700222.0
2025-11-10,20251110150000,16.07,16.22,15.59,15.73,21397254.0
2025-11-11,20251111150000,15.74,17.04,15.6,16.49,46250910.0
2025-11-12,20251112150000,16.31,17.22,16.03,17.05,38979564.0
2025-11-13,20251113150000,16.9,17.18,16.57,16.84,29853298.0
2025-11-14,20251114150000,16.62,16.99,16.41,16.6,15443202.0
2025-11-17,20251117150000,16.77,17.59,16.39,16.95,34820201.0
2025-11-18,20251118150000,16.74,16.93,15.91,16.48,25811844.0
2025-11-19,20251119150000,16.42,16.62,16.1,16.28,15740581.0
2025-11-20,20251120150000,16.26,17.91,16.2,17.91,43288175.0
2025-11-21,20251121150000,17.9,19.7,17.62,18.0,103208433.0
2025-11-24,20251124150000,19.21,19.8,19.2,19.8,20720160.0
2025-11-25,20251125150000,21.78,21.78,20.51,21.78,86114896.0
2025-11-26,20251126150000,22.6,23.96,20.8,21.79,175505121.0
2025-11-27,20251127150000,21.64,23.28,19.61,22.35,164936681.0
2025-11-28,20251128150000,22.0,24.5,21.56,23.8,169900749.0
2025-12-01,20251201150000,23.41,25.42,22.82,23.05,147433157.0
2025-12-02,20251202150000,22.26,25.2,22.26,24.14,143217790.0
2025-12-03,20251203150000,23.0,26.55,21.73,25.7,209236116.0
2025-12-04,20251204150000,24.35,27.49,23.91,25.65,190061602.0
2025-12-05,20251205150000,25.05,28.22,24.85,28.22,167382219.0
2025-12-08,20251208150000,29.92,31.04,29.18,31.04,127107233.0
2025-12-09,20251209150000,30.29,33.85,28.6,32.01,207976776.0
2025-12-10,20251210150000,31.05,34.2,30.36,33.15,164691611.0
2025-12-11,20251211150000,33.81,36.47,32.02,36.47,180746835.0
2025-12-12,20251212150000,36.47,40.12,36.01,40.12,154360144.0
